Wall time,Step,Value
1557222861.004284,1,52.0
1557222861.70882,2,102.0
1557222862.841659,3,158.0
1557222863.540684,4,210.0
1557222864.630915,5,264.0
1557222865.749542,6,318.0
1557222867.694129,7,370.0
1557222868.911956,8,422.0
1557222871.67274,9,488.0
1557222874.998782,10,538.0
1557222876.370522,11,600.0
1557222877.426285,12,652.0
1557222878.57584,13,706.0
1557222879.884052,14,765.0
1557222881.265704,15,815.0
1557222882.651915,16,871.0
1557222884.141149,17,923.0
1557222885.228241,18,973.0
1557222886.372334,19,1027.0
1557222887.848997,20,1075.0
1557222888.942375,21,1129.0
1557222889.952347,22,1186.0
1557222891.404881,23,1236.0
1557222892.643249,24,1300.0
1557222895.367871,25,1354.0
1557222896.502785,26,1406.0
1557222898.051665,27,1460.0
1557222900.271289,28,1512.0
1557222901.534007,29,1564.0
1557222903.103013,30,1618.0
1557222904.332368,31,1672.0
1557222905.60461,32,1724.0
1557222906.747863,33,1776.0
1557222908.383192,34,1828.0
1557222910.656078,35,1880.0
1557222911.919592,36,1936.0
1557222913.667914,37,1986.0
1557222915.153809,38,2052.0
1557222916.351047,39,2108.0
1557222918.040814,40,2162.0
1557222919.47637,41,2212.0
1557222921.30206,42,2282.0
1557222922.627939,43,2330.0
1557222924.128233,44,2386.0
1557222925.592127,45,2438.0
1557222927.443755,46,2490.0
1557222928.857912,47,2544.0
1557222930.415506,48,2596.0
1557222932.315727,49,2648.0
1557222934.346092,50,2705.0
1557222936.287635,51,2761.0
1557222937.841427,52,2811.0
1557222939.783622,53,2863.0
1557222941.768213,54,2919.0
1557222943.395216,55,2971.0
1557222945.406457,56,3021.0
1557222947.561278,57,3073.0
1557222949.136329,58,3127.0
1557222951.150039,59,3175.0
1557222952.755442,60,3236.0
1557222954.444671,61,3288.0
1557222956.215391,62,3340.0
1557222958.174568,63,3402.0
1557222959.854934,64,3458.0
1557222961.450059,65,3512.0
1557222963.071409,66,3568.0
1557222965.038689,67,3635.0
1557222967.898403,68,3687.0
1557222970.052115,69,3749.0
1557222972.867863,70,3801.0
1557222975.118813,71,3853.0
1557222977.157496,72,3907.0
1557222978.787485,73,3955.0
1557222980.652265,74,4005.0
1557222982.33341,75,4059.0
1557222984.432878,76,4107.0
1557222986.154306,77,4159.0
1557222988.445157,78,4218.0
1557222990.136815,79,4270.0
1557222992.007893,80,4324.0
1557222994.20923,81,4388.0
1557222996.5236,82,4438.0
1557222998.3544,83,4490.0
1557223001.294923,84,4556.0
1557223003.471641,85,4612.0
1557223005.308374,86,4662.0
1557223007.260243,87,4718.0
1557223009.13729,88,4768.0
1557223010.885156,89,4816.0
1557223013.254221,90,4872.0
1557223015.585103,91,4926.0
1557223017.948586,92,4978.0
1557223020.327999,93,5030.0
1557223022.782167,94,5082.0
1557223025.24048,95,5134.0
1557223027.76137,96,5197.0
1557223030.223032,97,5247.0
1557223032.62622,98,5299.0
1557223035.059551,99,5352.0
1557223037.00472,100,5410.0
