Wall time,Step,Value
1557222861.004248,1,10.0
1557222861.708786,2,20.0
1557222862.841623,3,30.0
1557222863.540649,4,40.0
1557222864.630877,5,50.0
1557222865.749508,6,60.0
1557222867.694109,7,70.0
1557222868.911939,8,80.0
1557222871.672719,9,92.0
1557222874.998764,10,102.0
1557222876.370504,11,114.0
1557222877.426184,12,124.0
1557222878.57581,13,134.0
1557222879.884006,14,145.0
1557222881.265677,15,155.0
1557222882.651897,16,165.0
1557222884.141129,17,175.0
1557222885.228213,18,185.0
1557222886.372263,19,195.0
1557222887.848959,20,205.0
1557222888.942356,21,215.0
1557222889.952323,22,226.0
1557222891.404793,23,236.0
1557222892.643157,24,248.0
1557222895.367793,25,258.0
1557222896.502768,26,268.0
1557222898.051646,27,278.0
1557222900.271253,28,288.0
1557222901.533989,29,298.0
1557222903.102985,30,308.0
1557222904.332283,31,318.0
1557222905.604588,32,328.0
1557222906.747824,33,338.0
1557222908.383173,34,348.0
1557222910.65606,35,358.0
1557222911.919573,36,368.0
1557222913.667885,37,378.0
1557222915.153792,38,390.0
1557222916.35103,39,400.0
1557222918.040762,40,410.0
1557222919.476248,41,420.0
1557222921.302041,42,432.0
1557222922.62791,43,442.0
1557222924.128212,44,452.0
1557222925.592108,45,462.0
1557222927.443719,46,472.0
1557222928.857881,47,482.0
1557222930.41547,48,492.0
1557222932.315643,49,502.0
1557222934.346068,50,513.0
1557222936.287618,51,523.0
1557222937.841407,52,533.0
1557222939.783598,53,543.0
1557222941.768165,54,553.0
1557222943.395194,55,563.0
1557222945.406423,56,573.0
1557222947.561243,57,583.0
1557222949.136291,58,593.0
1557222951.150022,59,603.0
1557222952.755413,60,614.0
1557222954.444579,61,624.0
1557222956.215338,62,634.0
1557222958.174529,63,646.0
1557222959.854862,64,656.0
1557222961.450039,65,666.0
1557222963.071392,66,676.0
1557222965.038671,67,689.0
1557222967.898293,68,699.0
1557222970.052095,69,711.0
1557222972.867778,70,721.0
1557222975.118794,71,731.0
1557222977.157466,72,741.0
1557222978.78745,73,751.0
1557222980.652247,74,761.0
1557222982.333378,75,771.0
1557222984.432832,76,781.0
1557222986.15429,77,791.0
1557222988.445138,78,802.0
1557222990.136795,79,812.0
1557222992.007874,80,822.0
1557222994.209198,81,834.0
1557222996.523563,82,844.0
1557222998.354357,83,854.0
1557223001.294904,84,866.0
1557223003.471622,85,876.0
1557223005.308355,86,886.0
1557223007.260226,87,896.0
1557223009.137259,88,906.0
1557223010.885133,89,916.0
1557223013.254205,90,926.0
1557223015.585085,91,936.0
1557223017.948496,92,946.0
1557223020.327983,93,956.0
1557223022.782148,94,966.0
1557223025.240462,95,976.0
1557223027.76134,96,989.0
1557223030.223008,97,999.0
1557223032.626183,98,1009.0
1557223035.059534,99,1020.0
1557223037.004693,100,1030.0
1557223041.237285,101,1040.0
1557223043.484883,102,1050.0
1557223045.502364,103,1060.0
1557223047.768814,104,1072.0
1557223049.926598,105,1082.0
1557223052.099137,106,1092.0
1557223054.206791,107,1103.0
1557223056.711335,108,1113.0
1557223059.229448,109,1123.0
1557223061.356432,110,1133.0
1557223063.934205,111,1143.0
1557223065.971997,112,1153.0
1557223068.136887,113,1164.0
1557223070.681513,114,1174.0
1557223072.979175,115,1186.0
1557223075.098789,116,1196.0
1557223077.747307,117,1206.0
1557223080.948165,118,1216.0
1557223083.567692,119,1226.0
1557223086.263431,120,1236.0
1557223088.461088,121,1246.0
1557223091.712815,122,1256.0
1557223094.37246,123,1266.0
1557223096.639861,124,1276.0
1557223099.467292,125,1286.0
1557223102.296661,126,1296.0
1557223105.141458,127,1306.0
1557223108.632248,128,1317.0
1557223111.072719,129,1327.0
1557223114.653647,130,1338.0
1557223117.50884,131,1348.0
1557223119.973692,132,1358.0
1557223123.66409,133,1368.0
1557223126.21238,134,1378.0
1557223129.771429,135,1388.0
1557223132.666585,136,1399.0
1557223135.591642,137,1409.0
1557223138.621385,138,1419.0
1557223141.349741,139,1429.0
1557223144.329496,140,1439.0
1557223147.178137,141,1449.0
1557223150.405634,142,1459.0
1557223153.074216,143,1469.0
1557223155.90905,144,1481.0
1557223158.684272,145,1491.0
1557223161.410423,146,1501.0
1557223164.58995,147,1511.0
1557223167.554468,148,1521.0
1557223170.28252,149,1531.0
1557223173.483024,150,1541.0
1557223176.644451,151,1551.0
1557223179.507961,152,1561.0
1557223182.769452,153,1571.0
1557223185.934981,154,1581.0
1557223188.959547,155,1593.0
1557223192.247744,156,1603.0
1557223195.549872,157,1613.0
1557223198.634634,158,1624.0
1557223201.571835,159,1634.0
1557223204.851172,160,1644.0
1557223207.606633,161,1654.0
1557223210.870197,162,1664.0
1557223213.802062,163,1674.0
1557223216.651755,164,1684.0
1557223219.402297,165,1694.0
1557223222.313153,166,1705.0
1557223225.55729,167,1716.0
1557223229.41965,168,1726.0
1557223232.704669,169,1736.0
1557223235.566615,170,1746.0
1557223238.835614,171,1757.0
1557223242.277683,172,1767.0
1557223245.407474,173,1777.0
1557223248.795632,174,1789.0
1557223252.538463,175,1799.0
1557223255.644938,176,1809.0
1557223258.736209,177,1819.0
1557223262.153219,178,1829.0
1557223265.198764,179,1839.0
1557223268.229947,180,1849.0
1557223271.762757,181,1859.0
1557223275.034066,182,1871.0
1557223278.169677,183,1881.0
1557223281.591632,184,1894.0
1557223285.159961,185,1904.0
1557223288.918425,186,1914.0
1557223292.382338,187,1925.0
1557223295.642927,188,1936.0
1557223299.621132,189,1946.0
1557223303.428729,190,1956.0
1557223306.920786,191,1966.0
1557223310.217577,192,1976.0
1557223313.534949,193,1986.0
1557223318.202976,194,1996.0
1557223322.17731,195,2006.0
1557223325.507654,196,2016.0
1557223329.24737,197,2028.0
1557223333.144099,198,2038.0
1557223337.166935,199,2048.0
1557223341.146015,200,2058.0
1557223344.858799,201,2064.0
1557223348.560704,202,2066.0
1557223352.570385,203,2071.0
1557223357.734146,204,2075.0
1557223361.738298,205,2081.0
1557223365.942506,206,2085.0
1557223369.703919,207,2088.0
1557223373.217498,208,2089.0
1557223377.022968,209,2093.0
1557223380.563565,210,2100.0
1557223384.125069,211,2102.0
1557223388.168225,212,2107.0
1557223391.866792,213,2111.0
1557223395.503099,214,2113.0
1557223398.909191,215,2120.0
1557223402.925188,216,2121.0
1557223406.599698,217,2124.0
1557223410.533754,218,2128.0
1557223414.477198,219,2130.0
1557223418.213291,220,2132.0
1557223421.56967,221,2133.0
1557223425.536958,222,2134.0
1557223429.269986,223,2137.0
1557223432.633179,224,2140.0
1557223435.928182,225,2141.0
1557223439.195992,226,2143.0
1557223442.540409,227,2148.0
1557223445.959148,228,2152.0
1557223449.236659,229,2156.0
1557223453.101708,230,2157.0
1557223456.594788,231,2164.0
1557223460.497942,232,2168.0
1557223463.93738,233,2171.0
1557223467.24967,234,2179.0
