Wall time,Step,Value
1557234199.448859,1,10.0
1557234201.128352,2,20.0
1557234201.737176,3,30.0
1557234202.850811,4,42.0
1557234203.8187,5,54.0
1557234204.450952,6,64.0
1557234206.28913,7,74.0
1557234208.553645,8,84.0
1557234213.095308,9,94.0
1557234216.679193,10,104.0
1557234218.912287,11,114.0
1557234220.611786,12,124.0
1557234222.177973,13,135.0
1557234223.887854,14,145.0
1557234225.227102,15,157.0
1557234226.675896,16,167.0
1557234228.107398,17,177.0
1557234229.721817,18,187.0
1557234231.313318,19,197.0
1557234232.833551,20,207.0
1557234234.883802,21,217.0
1557234237.587296,22,227.0
1557234239.365998,23,237.0
1557234241.17806,24,247.0
1557234246.158137,25,257.0
1557234248.601253,26,267.0
1557234251.05175,27,277.0
1557234253.522381,28,287.0
1557234256.027264,29,297.0
1557234258.593983,30,307.0
1557234260.948019,31,318.0
1557234263.601223,32,328.0
1557234265.939308,33,338.0
1557234268.38515,34,348.0
1557234270.802492,35,359.0
1557234273.137978,36,369.0
1557234275.579102,37,379.0
1557234277.9779,38,389.0
1557234280.786548,39,401.0
1557234283.781319,40,411.0
1557234286.859712,41,421.0
1557234289.510097,42,432.0
1557234292.31046,43,442.0
1557234295.56496,44,452.0
1557234298.849736,45,464.0
1557234302.134844,46,474.0
1557234305.153873,47,484.0
1557234308.184851,48,494.0
1557234311.395063,49,504.0
1557234314.526286,50,514.0
1557234317.853057,51,524.0
1557234321.136868,52,536.0
1557234324.322758,53,547.0
1557234327.520095,54,557.0
1557234330.851676,55,567.0
1557234334.101868,56,577.0
1557234337.944487,57,587.0
1557234341.845224,58,597.0
1557234345.298959,59,607.0
1557234348.84244,60,617.0
1557234352.33197,61,627.0
1557234357.045748,62,637.0
1557234361.17237,63,648.0
1557234365.339642,64,659.0
1557234369.503752,65,669.0
1557234373.350076,66,681.0
1557234377.307603,67,693.0
1557234381.333482,68,703.0
1557234385.707907,69,714.0
1557234390.111386,70,724.0
1557234394.230491,71,734.0
1557234398.747629,72,744.0
1557234402.803657,73,755.0
1557234407.178464,74,767.0
1557234411.476433,75,779.0
1557234416.172479,76,791.0
1557234420.500304,77,802.0
1557234425.283363,78,812.0
1557234430.256661,79,822.0
1557234435.073277,80,834.0
1557234440.020075,81,844.0
1557234444.718138,82,854.0
1557234449.404486,83,864.0
1557234454.099748,84,874.0
1557234459.228422,85,884.0
1557234464.428961,86,894.0
1557234469.667911,87,904.0
1557234474.982052,88,914.0
1557234480.363971,89,924.0
1557234485.702284,90,934.0
1557234490.691018,91,944.0
1557234495.73486,92,954.0
1557234501.229165,93,966.0
1557234506.431478,94,976.0
1557234511.562633,95,986.0
1557234516.787388,96,996.0
1557234522.488088,97,1006.0
1557234528.026503,98,1016.0
1557234533.48782,99,1027.0
1557234539.330912,100,1039.0
1557234549.14206,101,1049.0
1557234555.116323,102,1059.0
1557234560.962196,103,1069.0
1557234566.590914,104,1080.0
1557234572.405321,105,1090.0
1557234578.04228,106,1100.0
1557234583.827971,107,1110.0
1557234590.050271,108,1120.0
1557234595.8012,109,1130.0
1557234602.050094,110,1140.0
1557234608.443218,111,1152.0
1557234614.535816,112,1162.0
1557234620.698364,113,1174.0
1557234627.208437,114,1184.0
1557234633.834613,115,1196.0
1557234640.624021,116,1206.0
1557234647.333631,117,1216.0
1557234653.392851,118,1226.0
1557234660.452782,119,1236.0
1557234667.187602,120,1246.0
1557234673.95468,121,1258.0
1557234680.818426,122,1268.0
1557234687.621728,123,1280.0
1557234694.468045,124,1290.0
1557234701.126836,125,1301.0
1557234707.86244,126,1311.0
1557234714.946487,127,1321.0
1557234722.193794,128,1331.0
1557234729.918093,129,1341.0
1557234737.231239,130,1352.0
1557234744.376064,131,1365.0
1557234751.539136,132,1375.0
1557234759.150183,133,1386.0
1557234766.094039,134,1396.0
1557234773.258613,135,1406.0
1557234780.613218,136,1416.0
1557234788.713375,137,1426.0
1557234796.592801,138,1436.0
1557234804.35569,139,1448.0
1557234811.467272,140,1458.0
1557234818.796375,141,1468.0
1557234826.281524,142,1478.0
1557234834.19191,143,1488.0
1557234842.066989,144,1498.0
1557234850.044706,145,1508.0
1557234857.875838,146,1520.0
1557234865.486869,147,1530.0
1557234873.070809,148,1540.0
