Wall time,Step,Value
1557234199.448891,1,54.0
1557234201.128384,2,104.0
1557234201.737209,3,158.0
1557234202.850849,4,220.0
1557234203.818733,5,288.0
1557234204.450987,6,340.0
1557234206.289151,7,390.0
1557234208.553664,8,444.0
1557234213.095329,9,496.0
1557234216.679211,10,550.0
1557234218.912312,11,602.0
1557234220.611805,12,658.0
1557234222.177991,13,713.0
1557234223.887874,14,769.0
1557234225.227134,15,831.0
1557234226.67592,16,889.0
1557234228.10743,17,945.0
1557234229.721845,18,1003.0
1557234231.313341,19,1057.0
1557234232.833662,20,1113.0
1557234234.883836,21,1169.0
1557234237.587318,22,1219.0
1557234239.366027,23,1271.0
1557234241.178084,24,1325.0
1557234246.158153,25,1381.0
1557234248.601272,26,1431.0
1557234251.051783,27,1481.0
1557234253.522407,28,1539.0
1557234256.027291,29,1593.0
1557234258.594016,30,1643.0
1557234260.948088,31,1706.0
1557234263.601251,32,1758.0
1557234265.939333,33,1814.0
1557234268.385212,34,1868.0
1557234270.802515,35,1923.0
1557234273.13801,36,1973.0
1557234275.579121,37,2023.0
1557234277.977925,38,2081.0
1557234280.786573,39,2151.0
1557234283.781344,40,2203.0
1557234286.859741,41,2251.0
1557234289.510241,42,2310.0
1557234292.310491,43,2366.0
1557234295.564994,44,2416.0
1557234298.849774,45,2486.0
1557234302.134866,46,2542.0
1557234305.153899,47,2596.0
1557234308.184876,48,2650.0
1557234311.395093,49,2704.0
1557234314.526316,50,2752.0
1557234317.853083,51,2808.0
1557234321.1369,52,2868.0
1557234324.322775,53,2921.0
1557234327.520131,54,2973.0
1557234330.8517,55,3033.0
1557234334.101888,56,3083.0
1557234337.944519,57,3137.0
1557234341.845282,58,3191.0
1557234345.298984,59,3241.0
1557234348.842461,60,3295.0
1557234352.331998,61,3347.0
1557234357.04577,62,3397.0
1557234361.172409,63,3452.0
1557234365.339666,64,3507.0
1557234369.503778,65,3557.0
1557234373.350104,66,3615.0
1557234377.307714,67,3679.0
1557234381.333537,68,3735.0
1557234385.707932,69,3796.0
1557234390.111498,70,3850.0
1557234394.230516,71,3904.0
1557234398.747658,72,3956.0
1557234402.803675,73,4011.0
1557234407.178489,74,4075.0
1557234411.47645,75,4137.0
1557234416.172508,76,4195.0
1557234420.50033,77,4250.0
1557234425.283387,78,4300.0
1557234430.256684,79,4352.0
1557234435.073394,80,4420.0
1557234440.020103,81,4474.0
1557234444.71817,82,4526.0
1557234449.404511,83,4578.0
1557234454.099776,84,4634.0
1557234459.228538,85,4686.0
1557234464.429057,86,4738.0
1557234469.668054,87,4788.0
1557234474.982081,88,4842.0
1557234480.363997,89,4896.0
1557234485.702307,90,4950.0
1557234490.691171,91,4998.0
1557234495.734884,92,5052.0
1557234501.229193,93,5112.0
1557234506.431498,94,5166.0
1557234511.56268,95,5220.0
1557234516.787419,96,5268.0
