Wall time,Step,Value
1557205479.757752,1,0.0
1557205480.835833,2,0.0
1557205481.476258,3,0.0
1557205482.063355,4,0.0
1557205482.969567,5,0.0
1557205483.94883,6,0.0
1557205486.6759,7,0.0
1557205488.911923,8,0.0
1557205489.570463,9,0.0
1557205491.408188,10,0.0
1557205493.928108,11,0.0
1557205495.044853,12,0.0
1557205496.101956,13,0.0
1557205496.99987,14,0.0
1557205497.709982,15,0.0
1557205498.421677,16,0.0
1557205499.486633,17,0.0
1557205501.291309,18,0.0
1557205501.939516,19,0.0
1557205502.615984,20,0.0
1557205503.382615,21,0.0
1557205504.072341,22,0.0
1557205505.192046,23,0.0
1557205508.081334,24,0.0
1557205509.279477,25,0.0
1557205510.482389,26,0.0
1557205511.376287,27,0.0
1557205512.572121,28,0.0
1557205513.772534,29,0.0
1557205514.958647,30,0.0
1557205515.762157,31,0.0
1557205516.6066,32,0.0
1557205517.850143,33,0.0
1557205518.650788,34,0.0
1557205519.884881,35,0.0
1557205520.757141,36,0.0
1557205522.038276,37,0.0
1557205523.009475,38,0.0
1557205523.972255,39,0.0
1557205524.98004,40,0.0
1557205526.767347,41,0.0
1557205528.074407,42,0.0
1557205529.353515,43,0.0
1557205530.63842,44,0.0
1557205531.942228,45,0.0
1557205532.904042,46,0.0
1557205533.878269,47,0.0
1557205535.223853,48,0.0
1557205536.238097,49,0.0
1557205537.607234,50,0.0
1557205538.588732,51,0.0
1557205539.943634,52,0.0
1557205541.342749,53,0.0
1557205542.340149,54,0.0
1557205543.715399,55,0.0
1557205544.769967,56,0.0
1557205545.868778,57,0.0
1557205546.963391,58,0.0
1557205548.169522,59,0.0
1557205549.497392,60,0.0
1557205550.644295,61,0.0
1557205551.800095,62,0.0
1557205553.218957,63,0.0
1557205554.356872,64,0.0
1557205555.883454,65,0.0
1557205557.856727,66,0.0
1557205559.380823,67,0.0
1557205560.977966,68,0.0
1557205562.468738,69,0.0
1557205563.959054,70,0.0
1557205565.457153,71,0.0
1557205566.964569,72,0.0
1557205568.486547,73,0.0
1557205569.644023,74,0.0
1557205571.673139,75,0.0
1557205572.748984,76,0.0
1557205574.001683,77,0.0
1557205575.391363,78,0.0
1557205576.630014,79,0.0
1557205577.936613,80,0.0
1557205579.469777,81,0.0
1557205580.753167,82,0.0
1557205581.89814,83,0.0
1557205583.990436,84,0.0
1557205585.243735,85,0.0
1557205586.526811,86,0.0
1557205588.713016,87,0.0
1557205590.356249,88,0.0
1557205591.964003,89,0.0
1557205593.558297,90,0.0
1557205595.179043,91,0.0
1557205596.484758,92,0.0
1557205597.658611,93,0.0
1557205598.969965,94,0.0
1557205600.455488,95,0.0
1557205602.155997,96,0.0
1557205603.869705,97,0.0
1557205605.193338,98,0.0
1557205606.613611,99,0.0
1557205608.045301,100,0.0
1557205612.607329,101,0.0
1557205614.061116,102,0.0
1557205615.771617,103,0.0
1557205617.485996,104,0.0
1557205618.943121,105,0.0
1557205620.693878,106,0.0
1557205622.08072,107,0.0
1557205623.812172,108,0.0
1557205625.593528,109,0.0
1557205627.075811,110,0.0
1557205628.875955,111,0.0
1557205630.463792,112,0.0
1557205631.917506,113,0.0
1557205633.703248,114,0.0
1557205635.494817,115,0.0
1557205636.943596,116,0.0
1557205638.747594,117,0.0
1557205640.574437,118,0.0
1557205642.40746,119,0.0
1557205643.841335,120,0.0
1557205645.685688,121,0.0
1557205647.55071,122,0.0
1557205649.018075,123,0.0
1557205650.865863,124,0.0
1557205652.714614,125,0.0
1557205654.656315,126,0.0
1557205656.17048,127,0.0
1557205658.585274,128,0.0
1557205660.236613,129,0.0
1557205661.939567,130,0.0
1557205663.870473,131,0.0
1557205665.428986,132,0.0
1557205667.355894,133,0.0
1557205669.300786,134,0.0
1557205670.857245,135,0.0
1557205672.821849,136,0.0
1557205674.78953,137,0.0
1557205676.366144,138,0.0
1557205677.986132,139,0.0
1557205680.017063,140,0.0
1557205681.7488,141,0.0
1557205683.73316,142,0.0
1557205685.420706,143,0.0
1557205687.020102,144,0.0
1557205689.021361,145,0.0
1557205691.073738,146,0.0
1557205693.110194,147,0.0
1557205695.154255,148,0.0
1557205697.186329,149,0.0
1557205699.009508,150,0.0
1557205701.082757,151,0.0
1557205702.752882,152,0.0
1557205704.46352,153,0.0
1557205706.550072,154,0.0
1557205708.624199,155,0.0
1557205710.377957,156,0.0
1557205712.490541,157,0.0
1557205714.245158,158,0.0
1557205716.378431,159,0.0
1557205718.487095,160,0.0
1557205720.603743,161,0.0
1557205722.418177,162,0.0
1557205724.550947,163,0.0
1557205726.394538,164,0.0
1557205729.08012,165,0.0
1557205730.898222,166,0.0
1557205733.081964,167,0.0
1557205735.773656,168,0.0
1557205737.612239,169,0.0
1557205739.774058,170,0.009999999776482582
1557205741.662204,171,0.009999999776482582
1557205744.391011,172,0.009999999776482582
1557205746.598675,173,0.009999999776482582
1557205748.481097,174,0.009999999776482582
1557205750.69708,175,0.009999999776482582
1557205752.868383,176,0.019999999552965164
1557205754.782565,177,0.019999999552965164
1557205756.532312,178,0.029999999329447746
1557205758.785788,179,0.029999999329447746
1557205760.95109,180,0.03999999910593033
1557205762.913857,181,0.03999999910593033
1557205764.890409,182,0.03999999910593033
1557205767.158445,183,0.03999999910593033
1557205769.085918,184,0.03999999910593033
1557205771.391666,185,0.03999999910593033
1557205773.689323,186,0.03999999910593033
1557205775.623801,187,0.03999999910593033
1557205777.524128,188,0.03999999910593033
1557205779.453372,189,0.03999999910593033
1557205781.703738,190,0.05000000074505806
1557205783.603181,191,0.05000000074505806
1557205786.469223,192,0.05000000074505806
1557205788.836128,193,0.05000000074505806
1557205790.717152,194,0.05999999865889549
1557205792.991375,195,0.07000000029802322
1557205795.189786,196,0.07000000029802322
1557205797.279129,197,0.07000000029802322
1557205799.369394,198,0.07000000029802322
1557205801.872116,199,0.07000000029802322
1557205804.222194,200,0.07999999821186066
1557205806.683469,201,0.09000000357627869
1557205809.175765,202,0.09000000357627869
1557205811.197563,203,0.10000000149011612
1557205813.678617,204,0.10000000149011612
1557205815.817793,205,0.10999999940395355
1557205817.83947,206,0.11999999731779099
1557205820.362012,207,0.12999999523162842
1557205822.67843,208,0.14000000059604645
1557205825.667427,209,0.14000000059604645
1557205828.159993,210,0.14000000059604645
1557205831.553047,211,0.14000000059604645
1557205833.965943,212,0.14000000059604645
1557205836.134962,213,0.15000000596046448
1557205838.23986,214,0.15000000596046448
1557205840.292369,215,0.15000000596046448
1557205842.766462,216,0.15000000596046448
1557205846.015346,217,0.15000000596046448
1557205848.227999,218,0.15000000596046448
1557205850.228141,219,0.15000000596046448
1557205852.618214,220,0.15000000596046448
1557205854.946137,221,0.1599999964237213
1557205859.852929,222,0.17000000178813934
1557205863.144832,223,0.17000000178813934
1557205865.209747,224,0.18000000715255737
