Wall time,Step,Value
1557244321.462904,1,12.0
1557244323.071091,2,22.0
1557244324.373314,3,32.0
1557244325.482153,4,42.0
1557244326.945608,5,53.0
1557244328.878882,6,63.0
1557244332.421427,7,73.0
1557244333.664573,8,83.0
1557244336.038447,9,94.0
1557244338.778857,10,106.0
1557244340.860744,11,116.0
1557244342.826542,12,127.0
1557244346.170142,13,137.0
1557244348.384504,14,147.0
1557244349.753823,15,157.0
1557244351.386677,16,169.0
1557244352.786352,17,179.0
1557244354.871234,18,189.0
1557244357.121504,19,201.0
1557244358.652815,20,211.0
1557244360.20987,21,221.0
1557244361.970759,22,231.0
1557244364.284252,23,241.0
1557244366.079566,24,253.0
1557244369.184546,25,263.0
1557244370.857934,26,273.0
1557244372.761499,27,285.0
1557244375.07498,28,295.0
1557244376.847807,29,305.0
1557244378.971891,30,315.0
1557244381.409787,31,325.0
1557244383.287745,32,335.0
1557244385.251665,33,347.0
1557244387.642069,34,358.0
1557244389.53639,35,370.0
1557244392.092193,36,380.0
1557244394.721055,37,390.0
1557244397.135449,38,400.0
1557244400.497905,39,410.0
1557244403.165443,40,421.0
1557244405.738175,41,431.0
1557244408.895661,42,441.0
1557244411.944167,43,451.0
1557244414.578664,44,461.0
1557244417.503537,45,471.0
1557244419.774653,46,481.0
1557244422.545215,47,491.0
1557244424.931125,48,503.0
1557244427.579154,49,513.0
1557244431.201692,50,523.0
1557244433.985281,51,533.0
1557244437.644297,52,543.0
1557244439.880249,53,553.0
1557244442.798141,54,563.0
1557244445.702768,55,573.0
1557244448.763801,56,583.0
1557244451.183037,57,593.0
1557244454.480513,58,604.0
1557244457.60332,59,614.0
1557244460.997125,60,624.0
1557244463.935418,61,636.0
1557244466.771699,62,646.0
1557244469.853141,63,656.0
1557244473.18024,64,666.0
1557244476.491499,65,676.0
1557244479.489819,66,686.0
1557244482.278638,67,696.0
1557244485.306042,68,706.0
1557244487.938946,69,716.0
1557244491.454617,70,726.0
1557244494.317268,71,736.0
1557244498.047627,72,748.0
1557244501.08201,73,758.0
1557244505.73974,74,768.0
1557244508.758499,75,780.0
1557244511.977119,76,790.0
1557244515.425832,77,800.0
1557244518.997383,78,810.0
1557244522.945672,79,820.0
1557244527.513918,80,830.0
1557244531.228001,81,842.0
1557244534.813255,82,854.0
1557244538.446892,83,864.0
1557244541.813006,84,874.0
1557244545.213384,85,884.0
1557244548.87099,86,894.0
1557244552.413302,87,904.0
1557244556.330267,88,915.0
1557244560.528639,89,925.0
1557244564.556232,90,935.0
1557244568.107962,91,946.0
1557244571.936519,92,958.0
1557244575.900814,93,968.0
1557244580.274114,94,978.0
1557244584.482969,95,988.0
1557244589.787114,96,998.0
1557244593.884247,97,1008.0
1557244597.605017,98,1018.0
1557244601.191483,99,1028.0
1557244606.606207,100,1038.0
1557244612.751918,101,1048.0
1557244617.248486,102,1058.0
1557244622.129252,103,1068.0
1557244627.157229,104,1079.0
1557244633.063468,105,1091.0
1557244638.640162,106,1101.0
1557244643.22102,107,1111.0
1557244648.036616,108,1121.0
1557244652.139147,109,1131.0
1557244656.091828,110,1141.0
1557244659.887408,111,1151.0
1557244663.844493,112,1161.0
1557244668.40524,113,1171.0
1557244673.037011,114,1184.0
1557244677.659233,115,1194.0
1557244680.675832,116,1204.0
1557244684.319067,117,1214.0
1557244688.946979,118,1224.0
1557244694.725012,119,1234.0
1557244699.193979,120,1246.0
1557244704.114228,121,1256.0
1557244708.666854,122,1266.0
1557244713.537256,123,1278.0
1557244718.161588,124,1288.0
1557244722.629452,125,1298.0
1557244727.391941,126,1308.0
1557244731.992254,127,1318.0
1557244737.275233,128,1328.0
1557244742.989238,129,1338.0
1557244748.093792,130,1348.0
1557244753.408209,131,1358.0
1557244758.236551,132,1368.0
1557244762.967498,133,1378.0
1557244767.927281,134,1390.0
1557244772.375636,135,1400.0
1557244777.338235,136,1410.0
1557244782.498993,137,1420.0
1557244789.185626,138,1430.0
1557244795.441535,139,1442.0
1557244800.959033,140,1452.0
1557244807.107234,141,1462.0
1557244812.363256,142,1472.0
1557244816.92892,143,1484.0
1557244822.872644,144,1495.0
1557244828.687544,145,1505.0
1557244834.111873,146,1515.0
1557244839.361851,147,1525.0
1557244845.693975,148,1535.0
1557244851.679338,149,1547.0
1557244856.809066,150,1557.0
1557244862.712353,151,1567.0
1557244867.798494,152,1577.0
1557244874.207818,153,1588.0
1557244879.583271,154,1598.0
1557244884.815797,155,1608.0
1557244890.722778,156,1618.0
1557244896.809748,157,1628.0
1557244902.94638,158,1638.0
1557244908.394814,159,1648.0
1557244913.530603,160,1659.0
1557244919.312639,161,1669.0
1557244924.912069,162,1679.0
1557244930.507431,163,1689.0
1557244936.114006,164,1699.0
1557244942.011987,165,1709.0
1557244947.537343,166,1720.0
1557244952.016454,167,1730.0
1557244958.027413,168,1740.0
1557244964.48087,169,1752.0
1557244970.458602,170,1762.0
1557244976.512211,171,1773.0
1557244984.008088,172,1783.0
1557244990.070476,173,1796.0
1557244996.296029,174,1806.0
1557245001.64477,175,1818.0
1557245007.381954,176,1828.0
1557245013.500353,177,1838.0
1557245019.255866,178,1848.0
1557245024.565772,179,1858.0
1557245032.302996,180,1868.0
1557245038.641834,181,1878.0
1557245044.965939,182,1891.0
1557245050.524667,183,1901.0
1557245057.092429,184,1911.0
1557245062.830375,185,1921.0
1557245068.690442,186,1931.0
1557245076.172589,187,1941.0
1557245082.021562,188,1951.0
1557245088.040912,189,1961.0
1557245094.457986,190,1973.0
1557245101.410626,191,1983.0
1557245107.797774,192,1993.0
1557245114.579954,193,2005.0
1557245122.836132,194,2017.0
1557245132.939724,195,2029.0
1557245140.195261,196,2039.0
1557245147.635748,197,2049.0
1557245155.033797,198,2059.0
1557245161.829085,199,2069.0
1557245169.65388,200,2079.0
1557245177.884098,201,2087.0
1557245184.827042,202,2095.0
1557245194.075407,203,2099.0
1557245202.89191,204,2104.0
1557245210.14401,205,2111.0
1557245217.155823,206,2115.0
1557245224.584424,207,2123.0
1557245231.046953,208,2126.0
1557245238.705382,209,2129.0
1557245246.015488,210,2136.0
1557245257.05391,211,2144.0
1557245265.632263,212,2151.0
1557245272.645514,213,2157.0
1557245281.973283,214,2168.0
1557245289.532184,215,2178.0
1557245296.642034,216,2179.0
1557245302.991096,217,2187.0
1557245309.058978,218,2192.0
1557245315.648837,219,2199.0
1557245322.462661,220,2210.0
1557245328.837903,221,2220.0
1557245334.759318,222,2222.0
1557245341.11439,223,2226.0
1557245350.697668,224,2237.0
1557245357.412197,225,2242.0
1557245363.471002,226,2245.0
1557245373.571271,227,2254.0
1557245387.639343,228,2258.0
1557245399.841975,229,2270.0
1557245407.302492,230,2273.0
1557245412.921559,231,2277.0
